Gene	antismash_cluster_type	mibig_cluster	mibig_product	compound
MAG00105_0025_15	opine-like-metallophore	BGC0002487	Other	staphylopine
MAG00105_0025_16	opine-like-metallophore	BGC0002487	Other	staphylopine
MAG00105_0025_17	opine-like-metallophore	BGC0002487	Other	staphylopine
MAG00105_0025_18	opine-like-metallophore	BGC0002487	Other	staphylopine
MAG00105_0025_19	opine-like-metallophore	BGC0002487	Other	staphylopine
MAG00105_0025_21	opine-like-metallophore	BGC0001590	Polyketide	formicamycins A-M
MAG00105_0025_3	opine-like-metallophore	BGC0002276	NRP	choline
MAG00105_0025_7	opine-like-metallophore	BGC0001312	NRP	viscosin
MAG00105_0025_8	opine-like-metallophore	BGC0000291	NRP	A54145
MAG00105_0025_9	opine-like-metallophore	BGC0002457	NRP	alazopeptin
MAG00105_0037_10	NI-siderophore	BGC0000947	Other	vibrioferrin
MAG00105_0037_12	NI-siderophore	BGC0000947	Other	vibrioferrin
MAG00105_0037_13	NI-siderophore	BGC0000947	Other	vibrioferrin
MAG00105_0037_14	NI-siderophore	BGC0000944	Other:Non-NRP siderophore	staphyloferrin A
MAG00105_0037_15	NI-siderophore	BGC0000944	Other:Non-NRP siderophore	staphyloferrin A
MAG00105_0037_16	NI-siderophore	BGC0000944	Other:Non-NRP siderophore	staphyloferrin A
MAG00105_0037_2	NI-siderophore	BGC0000202	Polyketide	azicemicin B
MAG00105_0037_4	NI-siderophore	BGC0001384, BGC0002169, BGC0002261	Polyketide, Polyketide+NRP	acurin A, lucilactaene, saprolmycin E
MAG00105_0039_11	NRPS	BGC0000758	Saccharide:Exopolysaccharide	capsular polysaccharide
MAG00105_0039_12	NRPS	BGC0000758	Saccharide:Exopolysaccharide	capsular polysaccharide
MAG00105_0039_13	NRPS	BGC0000736	Saccharide	capsular polysaccharide
MAG00105_0039_14	NRPS	BGC0000738	Saccharide	capsular polysaccharide
MAG00105_0039_17	NRPS	BGC0000413	NRP	Pf-5 pyoverdine
MAG00105_0044_10	NI-siderophore	BGC0002448	NRP	Q6402A
MAG00105_0044_11	NI-siderophore	BGC0000127	Polyketide	pyoluteorin
MAG00105_0044_15	NI-siderophore	BGC0000883	Other	arginomycin
MAG00105_0046_1	NI-siderophore	BGC0000259	Polyketide	prodigiosin
MAG00105_0046_3	NI-siderophore	BGC0001510	Other	anisomycin
MAG00105_0059_1	NI-siderophore	BGC0000943	Other	staphyloferrin B
MAG00105_0059_2	NI-siderophore	BGC0000943	Other	staphyloferrin B
MAG00105_0059_4	NI-siderophore	BGC0000943	Other	staphyloferrin B
MAG00105_0059_5	NI-siderophore	BGC0000943	Other	staphyloferrin B
MAG00105_0059_6	NI-siderophore	BGC0000943	Other	staphyloferrin B
MAG00105_0059_7	NI-siderophore	BGC0000943	Other	staphyloferrin B
MAG00105_0059_8	NI-siderophore	BGC0000943	Other	staphyloferrin B
MAG00105_0059_9	NI-siderophore	BGC0000943	Other	staphyloferrin B
MAG00105_0081_2	NRPS	BGC0000308	NRP	aureusimine A
MAG00105_0081_4	NRPS	BGC0000895	Other	citrulline
MAG00105_0081_5	NRPS	BGC0000895	Other	citrulline
MAG00105_0081_6	NRPS	BGC0000895	Other	citrulline
MAG00105_0081_7	NRPS	BGC0001593	NRP	ficellomycin
MAG00105_0084_2	NRPS	BGC0001715, BGC0002470	NRP, Other	octapeptin C4, synechobactin C9
MAG00105_0084_4	NRPS	BGC0002470	Other	synechobactin C9
MAG00105_0084_7	NRPS	BGC0001016, BGC0001667	NRP+Polyketide	microcystin, microcystin-LR
MAG00105_0087_2	NI-siderophore	BGC0002689	NRP	2,3-dihydroxybenzoylserine
MAG00105_0087_3	NI-siderophore	BGC0000767	Saccharide	exopolysaccharide
MAG00105_0087_5	NI-siderophore	BGC0001589	Saccharide	exopolysaccharides
MAG00105_0087_6	NI-siderophore	BGC0000780	Saccharide	O&K-antigen
MAG00105_0087_7	NI-siderophore	BGC0000781	Saccharide	O-antigen
MAG00105_0087_8	NI-siderophore	BGC0002246	Terpene	naematolin
MAG00105_0100_2	LAP	BGC0001171	RiPP:LAP	listeriolysin S
MAG00105_0100_3	LAP	BGC0001171	RiPP:LAP	listeriolysin S
MAG00105_0100_4	LAP	BGC0001171	RiPP:LAP	listeriolysin S
MAG00105_0100_5	LAP	BGC0001171	RiPP:LAP	listeriolysin S
MAG00105_0100_7	LAP	BGC0001171	RiPP:LAP	listeriolysin S
MAG00105_0116_3	NI-siderophore	BGC0002344	NRP	A50926 A
MAG00105_0116_6	NI-siderophore	BGC0000645	Terpene	carotenoid
MAG00105_0116_8	NI-siderophore	BGC0000645	Terpene	carotenoid
MAG00105_0198_1	NI-siderophore	BGC0000648	Terpene	carotenoid
MAG00105_0198_2	NI-siderophore	BGC0001184	Other	bacilysin
MAG00105_0198_3	NI-siderophore	BGC0000440, BGC0000441, BGC0001178	NRP, NRP:Glycopeptide	UK-68,597, teicoplanin
MAG00105_0237_1	NRPS	BGC0002491	NRP	myxochelin B
MAG00105_0237_2	NRPS	BGC0001896	Other	carbazomycin B
MAG00105_0241_1	NI-siderophore	BGC0000943	Other	staphyloferrin B
MAG00105_0241_2	NI-siderophore	BGC0000943	Other	staphyloferrin B
MAG00105_0241_3	NI-siderophore	BGC0000943	Other	staphyloferrin B
MAG00108_0001_156	other, other,sactipeptide	BGC0001225	NRP	celesticetin
MAG00108_0001_158	other, other,sactipeptide	BGC0001651	Other	legionaminic acid
MAG00108_0001_161	other, other,sactipeptide	BGC0000796	Saccharide	S-layer glycan
MAG00108_0001_162	other, other,sactipeptide	BGC0000794	Saccharide	S-layer glycan
MAG00108_0001_163	other, other,sactipeptide	BGC0000794	Saccharide	S-layer glycan
MAG00108_0001_166	other, other,sactipeptide	BGC0001418, BGC0001420	NRP:Cyclic depsipeptide+Polyketide:Iterative type I polyketide	myxochromide D
MAG00108_0001_167	other, other,sactipeptide	BGC0001739	Other	phosphonoacetic Acid
MAG00108_0001_169	other, other,sactipeptide	BGC0000016	Other	amphotericin B
MAG00108_0001_170	other, other,sactipeptide	BGC0001184	Other	bacilysin
MAG00108_0001_171	other, other,sactipeptide	BGC0001184	Other	bacilysin
MAG00108_0001_172	other, other,sactipeptide	BGC0000888, BGC0001184	Other	bacilysin
MAG00108_0001_173	other, other,sactipeptide	BGC0001184	Other	bacilysin
MAG00108_0001_174	other, other,sactipeptide	BGC0001184	Other	bacilysin
MAG00108_0001_175	other, other,sactipeptide	BGC0001184	Other	bacilysin
MAG00108_0001_176	other, other,sactipeptide	BGC0001184	Other	bacilysin
MAG00108_0001_177	other, other,sactipeptide	BGC0002632	NRP	varlaxin 1046A
MAG00108_0001_180	other, other,sactipeptide	BGC0000994	NRP+Polyketide	FR-900520
MAG00108_0001_185	other, other,sactipeptide	BGC0001877	Polyketide	cyphomycin
MAG00108_0001_188	other, other,sactipeptide	BGC0000031, BGC0001533	Polyketide, Polyketide:Modular type I polyketide	borrelidin
MAG00108_0001_193	other, other,sactipeptide	BGC0000469, BGC0002713	NRP, RiPP:Bottromycin	bottromycin A2, mevalagmapeptide A
MAG00108_0001_195	CDPS, other, other,sactipeptide, sactipeptide	BGC0002357	Polyketide+Other	neomediomycin B
MAG00108_0001_199	CDPS, other, other,sactipeptide, sactipeptide	BGC0000602	RiPP:Thiopeptide	subtilosin A
MAG00108_0001_200	CDPS, other, other,sactipeptide, sactipeptide	BGC0000602	RiPP:Thiopeptide	subtilosin A
MAG00108_0001_201	CDPS, other, other,sactipeptide, sactipeptide	BGC0000602	RiPP:Thiopeptide	subtilosin A
MAG00108_0001_202	CDPS, other, other,sactipeptide, sactipeptide	BGC0000602	RiPP:Thiopeptide	subtilosin A
MAG00108_0001_203	CDPS, other, other,sactipeptide, sactipeptide	BGC0000602	RiPP:Thiopeptide	subtilosin A
MAG00108_0001_204	CDPS, other, other,sactipeptide, sactipeptide	BGC0000602	RiPP:Thiopeptide	subtilosin A
MAG00108_0001_205	CDPS, other, other,sactipeptide, sactipeptide	BGC0000602	RiPP:Thiopeptide	subtilosin A
MAG00108_0001_208	CDPS, other, other,sactipeptide, sactipeptide	BGC0002666	NRP+Alkaloid	legonindolizidine A6
MAG00108_0001_212	CDPS, other, other,sactipeptide, sactipeptide	BGC0002666	NRP+Alkaloid	legonindolizidine A6
MAG00108_0003_113	CDPS, sactipeptide	BGC0000144	Polyketide:Modular type I polyketide	salinomycin
MAG00108_0003_114	CDPS, sactipeptide	BGC0002103	Other	pulcherriminic acid
MAG00108_0003_115	CDPS, sactipeptide	BGC0002103	Other	pulcherriminic acid
MAG00108_0003_116	CDPS, sactipeptide	BGC0002103	Other	pulcherriminic acid
MAG00108_0003_118	CDPS, sactipeptide	BGC0002103	Other	pulcherriminic acid
MAG00108_0003_119	CDPS	BGC0002103	Other	pulcherriminic acid
MAG00108_0003_125	CDPS, sactipeptide	BGC0002314	NRP	corbomycin
MAG00108_0005_10	NRPS	BGC0000433	NRP:Lipopeptide	surfactin
MAG00108_0005_11	NRPS	BGC0000433	NRP:Lipopeptide	surfactin
MAG00108_0005_12	NRPS	BGC0000433	NRP:Lipopeptide	surfactin
MAG00108_0005_15	NRPS	BGC0000433	NRP:Lipopeptide	surfactin
MAG00108_0005_16	NRPS	BGC0000433	NRP:Lipopeptide	surfactin
MAG00108_0005_17	NRPS	BGC0000433	NRP:Lipopeptide	surfactin
MAG00108_0005_18	NRPS	BGC0000433	NRP:Lipopeptide	surfactin
MAG00108_0005_19	NRPS	BGC0000433	NRP:Lipopeptide	surfactin
MAG00108_0005_2	NRPS	BGC0000433	NRP:Lipopeptide	surfactin
MAG00108_0005_20	NRPS	BGC0000433	NRP:Lipopeptide	surfactin
MAG00108_0005_22	NRPS	BGC0000093	Polyketide	meilingmycin
MAG00108_0005_23	NRPS	BGC0001592	Other	ferroverdin
MAG00108_0005_24	NRPS	BGC0000889	Other	bagremycin A
MAG00108_0005_28	NRPS	BGC0001983	Other	triacsin C
MAG00108_0005_3	NRPS	BGC0000433	NRP:Lipopeptide	surfactin
MAG00108_0005_4	NRPS	BGC0000433	NRP:Lipopeptide	surfactin
MAG00108_0005_5	NRPS	BGC0002571	NRP	pyoverdine DC3000
MAG00108_0005_6	NRPS	BGC0000433	NRP:Lipopeptide	surfactin
MAG00108_0005_7	NRPS	BGC0000433	NRP:Lipopeptide	surfactin
MAG00108_0005_8	NRPS	BGC0000433	NRP:Lipopeptide	surfactin
MAG00108_0005_9	NRPS	BGC0000433	NRP:Lipopeptide	surfactin
MAG00108_0011_24	T3PKS	BGC0002432	NRP	laterocidine
MAG00108_0011_25	T3PKS	BGC0002432	NRP	laterocidine
MAG00108_0011_32	T3PKS	BGC0002278	Alkaloid+NRP	brasiliamide I
MAG00108_0011_33	T3PKS	BGC0001847	Other	1-carbapen-2-em-3-carboxylic acid
MAG00108_0011_34	T3PKS	BGC0000087	Polyketide	lasalocid
MAG00108_0011_37	T3PKS	BGC0001847	Other	1-carbapen-2-em-3-carboxylic acid
MAG00108_0011_40	T3PKS	BGC0000035	Polyketide	chalcomycin A
MAG00108_0011_41	T3PKS	BGC0001831	Polyketide	alkylpyrone-407
MAG00108_0011_42	T3PKS	BGC0001831	Polyketide	alkylpyrone-407
MAG00108_0011_46	T3PKS	BGC0002338	Polyketide	sorangipyranone
MAG00108_0011_48	T3PKS	BGC0001316	Other	linamarin
MAG00108_0011_54	T3PKS	BGC0002254	Polyketide	notoamide F
MAG00108_0011_55	T3PKS	BGC0001686	NRP	N-octanoyl-Met-Phe-H
MAG00108_0011_57	T3PKS	BGC0000118, BGC0000119	Polyketide, Polyketide:Iterative type I polyketide+Saccharide:Hybrid/tailoring saccharide	7-deoxypactamycin, pactamycin
MAG00108_0011_58	T3PKS	BGC0001735	Other	pentostatine
MAG00108_0011_60	T3PKS	BGC0001289	RiPP	penisin
MAG00108_0013_10	NRPS	BGC0002666	NRP+Alkaloid	legonindolizidine A6
MAG00108_0013_11	NRPS	BGC0000283	Other:Cyclitol	cetoniacytone A
MAG00108_0013_3	NRPS	BGC0000433	NRP:Lipopeptide	surfactin
MAG00108_0013_4	NRPS	BGC0000433	NRP:Lipopeptide	surfactin
MAG00108_0013_6	NRPS	BGC0000433	NRP:Lipopeptide	surfactin
MAG00108_0013_7	NRPS	BGC0000433	NRP:Lipopeptide	surfactin
MAG00108_0025_2	NRPS,betalactone,transAT-PKS	BGC0001103	NRP+Polyketide	mycosubtilin
MAG00108_0025_3	NRPS,betalactone,transAT-PKS	BGC0000407	NRP	plipastatin
MAG00108_0025_4	NRPS,betalactone,transAT-PKS	BGC0000407	NRP	plipastatin
MAG00108_0025_5	NRPS,betalactone,transAT-PKS	BGC0000407	NRP	plipastatin
MAG00108_0044_10	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0001131	NRP	ambactin
MAG00108_0044_12	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000309	NRP	bacillibactin
MAG00108_0044_13	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000309	NRP	bacillibactin
MAG00108_0044_14	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000309	NRP	bacillibactin
MAG00108_0044_15	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000309	NRP	bacillibactin
MAG00108_0044_16	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000309	NRP	bacillibactin
MAG00108_0044_17	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000309	NRP	bacillibactin
MAG00108_0044_18	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000309	NRP	bacillibactin
MAG00108_0044_2	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0001580	Polyketide	ebelactone
MAG00108_0044_5	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0001457	NRP	jomthonic acid A
MAG00108_0049_10	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000559	RiPP:Lanthipeptide	subtilin
MAG00108_0049_11	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000559	RiPP:Lanthipeptide	subtilin
MAG00108_0049_12	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000559	RiPP:Lanthipeptide	subtilin
MAG00108_0049_13	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000506	RiPP:Lanthipeptide	entianin
MAG00108_0049_14	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000559	RiPP:Lanthipeptide	subtilin
MAG00108_0049_15	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000559	RiPP:Lanthipeptide	subtilin
MAG00108_0049_16	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000559	RiPP:Lanthipeptide	subtilin
MAG00108_0049_17	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000559	RiPP:Lanthipeptide	subtilin
MAG00108_0049_18	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000559	RiPP:Lanthipeptide	subtilin
MAG00108_0049_19	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000559	RiPP:Lanthipeptide	subtilin
MAG00108_0049_20	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000559	RiPP:Lanthipeptide	subtilin
MAG00108_0049_21	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000511	RiPP:Lanthipeptide	ericin S
MAG00108_0049_23	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000289	NRP:Glycopeptide+Saccharide:Hybrid/tailoring saccharide	A40926
MAG00108_0049_24	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000289	NRP:Glycopeptide+Saccharide:Hybrid/tailoring saccharide	A40926
MAG00108_0049_6	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000043, BGC0000976	NRP+Polyketide:Modular type I polyketide, Polyketide	curacin A
MAG00108_0049_8	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000559	RiPP:Lanthipeptide	subtilin
MAG00108_0049_9	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000559	RiPP:Lanthipeptide	subtilin
MAG00108_0062_1	phosphonate	BGC0000926	Other	rhizocticin A
MAG00108_0062_3	phosphonate	BGC0002571	NRP	pyoverdine DC3000
MAG00108_0064_10	phosphonate	BGC0000926	Other	rhizocticin A
MAG00108_0064_11	phosphonate	BGC0000926	Other	rhizocticin A
MAG00108_0064_12	phosphonate	BGC0000926	Other	rhizocticin A
MAG00108_0064_13	phosphonate	BGC0000926	Other	rhizocticin A
MAG00108_0064_2	phosphonate	BGC0000926	Other	rhizocticin A
MAG00108_0064_3	phosphonate	BGC0000926	Other	rhizocticin A
MAG00108_0064_4	phosphonate	BGC0000926	Other	rhizocticin A
MAG00108_0064_5	phosphonate	BGC0000926	Other	rhizocticin A
MAG00108_0064_6	phosphonate	BGC0000926	Other	rhizocticin A
MAG00108_0064_7	phosphonate	BGC0000926	Other	rhizocticin A
MAG00108_0064_8	phosphonate	BGC0000926	Other	rhizocticin A
MAG00108_0064_9	phosphonate	BGC0000926	Other	rhizocticin A
MAG00108_0076_3	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000035	Polyketide	chalcomycin A
MAG00108_0076_7	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0002364	Polyketide	trichostatin RK
MAG00108_0080_10	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000616	RiPP:Head-to-tailcyclized peptide	amylocyclicin
MAG00108_0080_11	NRP-metallophore,NRPS,RiPP-like	BGC0000616	RiPP:Head-to-tailcyclized peptide	amylocyclicin
MAG00108_0080_12	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000616	RiPP:Head-to-tailcyclized peptide	amylocyclicin
MAG00108_0080_2	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000469	RiPP:Bottromycin	bottromycin A2
MAG00108_0080_6	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000121	Polyketide	RES-1214-2
MAG00108_0080_7	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0001114	NRP+Polyketide	thailanstatin A
MAG00108_0080_9	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0001937	Other	tubercidin
MAG00108_0082_1	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000616	RiPP:Head-to-tailcyclized peptide	amylocyclicin
MAG00108_0082_2	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000616	RiPP:Head-to-tailcyclized peptide	amylocyclicin
MAG00108_0082_6	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000374	NRP:Cyclic depsipeptide	hormaomycin
MAG00108_0090_2	NRPS,betalactone,transAT-PKS	BGC0001103	NRP+Polyketide	mycosubtilin
MAG00108_0090_3	NRPS,betalactone,transAT-PKS	BGC0001095	NRP	fengycin
MAG00108_0090_4	NRPS,betalactone,transAT-PKS	BGC0001095	NRP	fengycin
MAG00108_0090_5	NRPS,betalactone,transAT-PKS	BGC0001095	NRP	fengycin
MAG00110_0007_102	NRP-metallophore,NRPS	BGC0000413	NRP	Pf-5 pyoverdine
MAG00110_0007_58	NRP-metallophore,NRPS	BGC0002430	NRP+Saccharide	gausemycin A
MAG00110_0007_61	NRP-metallophore,NRPS	BGC0001048, BGC0001137	Alkaloid, NRP:Glycopeptide+Polyketide:Modular type I polyketide+Saccharide:Hybrid/tailoring saccharide	marinacarboline A, tallysomycin A
MAG00110_0007_62	NRP-metallophore,NRPS	BGC0001540	Other	CC-1065
MAG00110_0007_70	NRP-metallophore,NRPS	BGC0002430	NRP+Saccharide	gausemycin A
MAG00110_0007_74	NRP-metallophore,NRPS	BGC0002476	NRP	enterobactin
MAG00110_0007_75	NRP-metallophore,NRPS	BGC0002476	NRP	enterobactin
MAG00110_0007_76	NRP-metallophore,NRPS	BGC0002476	NRP	enterobactin
MAG00110_0007_77	NRP-metallophore,NRPS	BGC0002476	NRP	enterobactin
MAG00110_0007_78	NRP-metallophore,NRPS	BGC0002476	NRP	enterobactin
MAG00110_0007_79	NRP-metallophore,NRPS	BGC0002476	NRP	enterobactin
MAG00110_0007_80	NRP-metallophore,NRPS	BGC0002476	NRP	enterobactin
MAG00110_0007_81	NRP-metallophore,NRPS	BGC0002476	NRP	enterobactin
MAG00110_0007_82	NRP-metallophore,NRPS	BGC0002476	NRP	enterobactin
MAG00110_0007_83	NRP-metallophore,NRPS	BGC0002476	NRP	enterobactin
MAG00110_0007_85	NRP-metallophore,NRPS	BGC0002414	NRP	trichrysobactin
MAG00110_0007_86	NRP-metallophore,NRPS	BGC0000296	NRP	actinomycin D
MAG00110_0007_87	NRP-metallophore,NRPS	BGC0002680	NRP	viobactin
MAG00110_0007_88	NRP-metallophore,NRPS	BGC0002679	NRP	chromobactin
MAG00110_0007_89	NRP-metallophore,NRPS	BGC0002503	NRP+Polyketide	chitinimide B
MAG00110_0007_93	NRP-metallophore,NRPS	BGC0001519	NRP+Polyketide	aurantimycin A
MAG00110_0014_17	arylpolyene	BGC0001314	Terpene	tirucalla
MAG00111_0056_10	LAP	BGC0000806	Saccharide	phosphonoglycans
MAG00111_0056_11	LAP	BGC0000752, BGC0000753	Saccharide	capsular polysaccharide
MAG00111_0056_13	LAP	BGC0000366	NRP	gobichelin A
MAG00111_0056_16	LAP	BGC0001529	Alkaloid	benzastatin J
MAG00111_0120_3	LAP	BGC0001056	NRP+Polyketide:Modular type I polyketide+Polyketide:PUFA synthase or related polyketide	zeamine
MAG00157_0008_30	lanthipeptide-class-ii	BGC0000290	NRP:Glycopeptide	A-47934
MAG00208_0011_36	NI-siderophore	BGC0000944	Other:Non-NRP siderophore	staphyloferrin A
MAG00208_0025_11	NRPS	BGC0001796	NRP	tauramamide
MAG00208_0025_8	NRPS	BGC0000469	RiPP:Bottromycin	bottromycin A2
MAG00208_0032_24	NI-siderophore	BGC0001484	Other	2'-chloropentostatin
MAG00208_0071_7	NI-siderophore	BGC0001947	Saccharide	K53 capsular polysaccharide
MAG00210_0008_51	NRP-metallophore,NRPS,RiPP-like, lanthipeptide-class-i	BGC0000616	RiPP:Head-to-tailcyclized peptide	amylocyclicin
MAG00210_0010_16	phosphonate	BGC0000926	Other	rhizocticin A
MAG00210_0020_2	NRPS,betalactone,transAT-PKS	BGC0001103	NRP+Polyketide	mycosubtilin
MAG00210_0020_3	NRPS,betalactone,transAT-PKS	BGC0001103	NRP+Polyketide	mycosubtilin
MAG00210_0020_4	NRPS,betalactone,transAT-PKS	BGC0001103	NRP+Polyketide	mycosubtilin
MAG00210_0020_5	NRPS,betalactone,transAT-PKS	BGC0001103	NRP+Polyketide	mycosubtilin
MAG00210_0020_6	NRPS,betalactone,transAT-PKS	BGC0002432	NRP	laterocidine
MAG00210_0020_7	NRPS,betalactone,transAT-PKS	BGC0001103	NRP+Polyketide	mycosubtilin
MAG00210_0020_8	NRPS,betalactone,transAT-PKS	BGC0001103	NRP+Polyketide	mycosubtilin
MAG00210_0020_9	NRPS,betalactone,transAT-PKS	BGC0001103	NRP+Polyketide	mycosubtilin
MAG00237_0054_15	arylpolyene	BGC0000838	Polyketide	flexirubin
MAG00253_0181_1	lanthipeptide-class-ii	BGC0002639	NRP	phospho-tyrolose
MAG00273_0016_47	NRPS,betalactone,transAT-PKS	BGC0001103	NRP+Polyketide	mycosubtilin
MAG00397_0038_2	arylpolyene	BGC0000839	Other	flexirubin
MAG00403_0004_10	NAPAA	BGC0000806	Saccharide	phosphonoglycans
MAG00403_0004_8	NAPAA	BGC0000806	Saccharide	phosphonoglycans
MAG00403_0100_9	NAPAA	BGC0000407	NRP	plipastatin
MAG00403_0178_3	NAPAA	BGC0002358	Polyketide	cyclofaulknamycin
MAG00415_0001_27	NRP-metallophore,NRPS	BGC0000997	NRP+Polyketide	glidobactin
MAG00415_0001_28	NRP-metallophore,NRPS	BGC0000347	NRP	equibactin
MAG00426_0015_24	betalactone	BGC0002360	NRP	depsibosamycin B
MAG00426_0015_25	betalactone	BGC0002414	NRP	trichrysobactin
MAG00426_0015_29	betalactone	BGC0002011	Polyketide	ansacarbamitocin A
MAG00426_0015_31	betalactone	BGC0001386	Polyketide	JBIR-76
MAG00426_0015_32	betalactone	BGC0000333	NRP	cyclomarin D
MAG00426_0015_33	betalactone	BGC0000333	NRP	cyclomarin D
MAG00426_0015_36	betalactone	BGC0000021	Polyketide	apoptolidin
MAG00426_0015_38	betalactone	BGC0000891	Other:Aminocoumarin	pentabromopseudilin
MAG00426_0015_40	betalactone	BGC0002632	NRP	varlaxin 1046A
MAG00426_0015_41	betalactone	BGC0000268	Polyketide	Sch-47554
MAG00426_0015_44	betalactone	BGC0000610	RiPP:Thiopeptide	nosiheptide
MAG00426_0015_45	betalactone	BGC0000615	RiPP:Thiopeptide	TP-1161
MAG00426_0030_13	T1PKS	BGC0000780	Saccharide	O&K-antigen
MAG00426_0030_16	T1PKS	BGC0001010	NRP+Polyketide:Modular type I polyketide	melithiazol A
MAG00426_0030_19	T1PKS	BGC0000365	NRP	glycopeptidolipid
MAG00426_0030_21	T1PKS	BGC0001447	Polyketide	primycin
MAG00426_0030_4	T1PKS	BGC0002410	NRP	frankobactin A1
MAG00426_0031_10	terpene	BGC0000084	Polyketide	laidlomycin
MAG00426_0031_3	terpene	BGC0000637	Terpene	carotenoid
MAG00426_0031_4	terpene	BGC0000637	Terpene	carotenoid
MAG00426_0031_7	terpene	BGC0000236	Polyketide	kinamycin
MAG00426_0031_8	terpene	BGC0001877	Polyketide	cyphomycin
MAG00426_0054_3	betalactone	BGC0002100	NRP+Other	colibrimycin
MAG00426_0054_4	betalactone	BGC0000696	Saccharide	gentamicin
MAG00426_0065_2	terpene	BGC0000966	NRP+Polyketide	caerulomycin A
MAG00426_0065_3	terpene	BGC0000144	Polyketide:Modular type I polyketide	salinomycin
MAG00445_0012_18	terpene	BGC0001814	NRP	ulleungmycin
MAG00446_0009_11	terpene	BGC0000637	Terpene	carotenoid
MAG00446_0009_12	terpene	BGC0000637	Terpene	carotenoid
MAG00446_0009_5	terpene	BGC0000982	NRP+Polyketide	cystothiazole A
MAG00446_0009_6	terpene	BGC0000780	Saccharide	O&K-antigen
MAG00446_0009_7	terpene	BGC0000340	NRP	echoside A
MAG00446_0009_8	terpene	BGC0000340	NRP	echoside A
MAG00446_0009_9	terpene	BGC0001593	NRP	ficellomycin
MAG00446_0123_2	terpene	BGC0002338	Polyketide	sorangipyranone
MAG00446_0123_3	terpene	BGC0001419	NRP:Cyclic depsipeptide+Polyketide:Iterative type I polyketide	myxochromide D
MAG00473_0017_2	LAP	BGC0001171	RiPP:LAP	listeriolysin S
MAG00473_0017_4	LAP	BGC0001171	RiPP:LAP	listeriolysin S
MAG00554_0024_13	arylpolyene	BGC0000839	Other	flexirubin
MAG00554_0024_4	arylpolyene	BGC0000839	Other	flexirubin
MAG00563_0011_32	NAPAA	BGC0002174	NRP	ε-Poly-L-lysine
MAG00563_0011_37	NAPAA	BGC0002358	Polyketide	cyclofaulknamycin
MAG00563_0011_39	NAPAA	BGC0001561	NRP	curacomycin
MAG00621_0045_2	NRPS,betalactone,transAT-PKS	BGC0002318	RiPP	canucin A
MAG00655_0015_5	NAPAA, terpene	BGC0000637	Terpene	carotenoid
MAG00655_0015_6	NAPAA, terpene	BGC0000637	Terpene	carotenoid
